test_accuracy,training_time,train_samples,test_samples,num_features,model_name,model_type,order,snp_size,dataset_id
0.655,9.71439504623413,3400,600,50,model5,Pure Epistasis,2,50,0
0.585,9.82663869857788,3400,600,50,model5,Pure Epistasis,2,50,1
0.5866666666666667,11.492986917495728,3400,600,100,model5,Pure Epistasis,2,100,0
0.6116666666666667,17.393268823623657,3400,600,100,model5,Pure Epistasis,2,100,1
0.5783333333333334,38.722182750701904,3400,600,500,model5,Pure Epistasis,2,500,0
0.57,33.207258224487305,3400,600,500,model5,Pure Epistasis,2,500,1
0.6033333333333334,59.87578463554382,3400,600,1000,model5,Pure Epistasis,2,1000,0
0.56,49.4781014919281,3400,600,1000,model5,Pure Epistasis,2,1000,1
0.5816666666666667,74.30493783950806,3400,600,2000,model5,Pure Epistasis,2,2000,0
0.5683333333333334,66.82238006591797,3400,600,2000,model5,Pure Epistasis,2,2000,1
0.5566666666666666,136.51273775100708,3400,600,5000,model5,Pure Epistasis,2,5000,0
0.58,127.12714958190918,3400,600,5000,model5,Pure Epistasis,2,5000,1
0.5083333333333333,9.540725946426392,3400,600,50,model5,Pure Epistasis,3,50,0
0.5233333333333333,10.362097263336182,3400,600,50,model5,Pure Epistasis,3,50,1
0.5466666666666666,10.37721586227417,3400,600,100,model5,Pure Epistasis,3,100,0
0.52,9.239003419876099,3400,600,100,model5,Pure Epistasis,3,100,1
0.5433333333333333,26.548630952835083,3400,600,500,model5,Pure Epistasis,3,500,0
0.5333333333333333,32.46953463554382,3400,600,500,model5,Pure Epistasis,3,500,1
0.5183333333333333,64.89038276672363,3400,600,1000,model5,Pure Epistasis,3,1000,0
0.5233333333333333,42.54179286956787,3400,600,1000,model5,Pure Epistasis,3,1000,1
0.5083333333333333,80.30611538887024,3400,600,2000,model5,Pure Epistasis,3,2000,0
0.49666666666666665,70.96058583259583,3400,600,2000,model5,Pure Epistasis,3,2000,1
0.5016666666666667,133.34440541267395,3400,600,5000,model5,Pure Epistasis,3,5000,0
0.495,126.63862490653992,3400,600,5000,model5,Pure Epistasis,3,5000,1
