model_name,order,num_snps,dataset_id,epochs,test_loss,test_accuracy,final_train_accuracy,final_val_accuracy,training_time
model1,2,50,0,10,0.6932258009910583,0.5,0.4903571307659149,0.5,12.374852418899536
model5,2,50,0,10,0.6931536793708801,0.5,0.4935714304447174,0.5,12.382471799850464
