test_accuracy,training_time,train_samples,test_samples,num_features,max_depth,num_models,model_name,order,snp_size,dataset_id
0.6166666666666667,20.435723781585693,3400,600,50,10,8,model1,2,50,0
0.6516666666666666,20.246188402175903,3400,600,50,10,8,model1,2,50,1
0.575,25.31742215156555,3400,600,100,10,8,model1,2,100,0
0.6033333333333334,24.95524287223816,3400,600,100,10,8,model1,2,100,1
0.5933333333333334,43.95642614364624,3400,600,500,10,8,model1,2,500,0
0.5883333333333334,43.363974809646606,3400,600,500,10,8,model1,2,500,1
0.5916666666666667,70.81152987480164,3400,600,1000,12,8,model1,2,1000,0
0.5133333333333333,70.31349182128906,3400,600,1000,12,8,model1,2,1000,1
0.6066666666666667,108.97505450248718,3400,600,2000,12,8,model1,2,2000,0
0.5566666666666666,105.13513922691345,3400,600,2000,12,8,model1,2,2000,1
0.565,208.42588114738464,3400,600,5000,12,8,model1,2,5000,0
0.595,188.40325474739075,3400,600,5000,12,8,model1,2,5000,1
0.5116666666666667,20.7699933052063,3400,600,50,10,8,model1,3,50,0
0.5083333333333333,20.525814056396484,3400,600,50,10,8,model1,3,50,1
0.5283333333333333,25.038166284561157,3400,600,100,10,8,model1,3,100,0
0.5283333333333333,24.964585065841675,3400,600,100,10,8,model1,3,100,1
0.51,42.67038321495056,3400,600,500,10,8,model1,3,500,0
0.5166666666666667,44.1279513835907,3400,600,500,10,8,model1,3,500,1
0.5066666666666667,70.0587375164032,3400,600,1000,12,8,model1,3,1000,0
0.51,81.52750492095947,3400,600,1000,12,8,model1,3,1000,1
0.5366666666666666,104.43571877479553,3400,600,2000,12,8,model1,3,2000,0
0.5066666666666667,103.21063232421875,3400,600,2000,12,8,model1,3,2000,1
0.5166666666666667,188.9394829273224,3400,600,5000,12,8,model1,3,5000,0
0.485,188.12660002708435,3400,600,5000,12,8,model1,3,5000,1
