test_accuracy,training_time,train_samples,test_samples,num_features,max_depth,num_models,model_name,model_type,order,snp_size,dataset_id
0.595,57.157938957214355,3400,600,50,8,7,model2,Weak Marginal,2,50,0
0.6133333333333333,45.41285991668701,3400,600,50,8,7,model2,Weak Marginal,2,50,1
0.615,76.67451906204224,3400,600,100,8,7,model2,Weak Marginal,2,100,0
0.5983333333333334,52.82652139663696,3400,600,100,8,7,model2,Weak Marginal,2,100,1
0.5833333333333334,122.71166372299194,3400,600,500,10,7,model2,Weak Marginal,2,500,0
0.5466666666666666,132.46844172477722,3400,600,500,10,7,model2,Weak Marginal,2,500,1
0.545,167.6498818397522,3400,600,1000,12,7,model2,Weak Marginal,2,1000,0
0.5866666666666667,220.97445273399353,3400,600,1000,12,7,model2,Weak Marginal,2,1000,1
0.6216666666666667,279.85884976387024,3400,600,2000,12,7,model2,Weak Marginal,2,2000,0
0.5866666666666667,258.46873807907104,3400,600,2000,12,7,model2,Weak Marginal,2,2000,1
0.5766666666666667,297.2869505882263,3400,600,5000,12,7,model2,Weak Marginal,2,5000,0
0.5683333333333334,249.52882552146912,3400,600,5000,12,7,model2,Weak Marginal,2,5000,1
0.5233333333333333,14.080034732818604,3400,600,50,8,7,model2,Weak Marginal,3,50,0
0.525,14.044191122055054,3400,600,50,8,7,model2,Weak Marginal,3,50,1
0.5483333333333333,16.55534863471985,3400,600,100,8,7,model2,Weak Marginal,3,100,0
0.575,16.35507106781006,3400,600,100,8,7,model2,Weak Marginal,3,100,1
0.5183333333333333,40.57093167304993,3400,600,500,10,7,model2,Weak Marginal,3,500,0
0.49833333333333335,33.144092082977295,3400,600,500,10,7,model2,Weak Marginal,3,500,1
0.5133333333333333,54.62263774871826,3400,600,1000,12,7,model2,Weak Marginal,3,1000,0
0.49166666666666664,58.96747446060181,3400,600,1000,12,7,model2,Weak Marginal,3,1000,1
0.49166666666666664,85.82905197143555,3400,600,2000,12,7,model2,Weak Marginal,3,2000,0
0.48833333333333334,79.63916158676147,3400,600,2000,12,7,model2,Weak Marginal,3,2000,1
0.51,165.0844864845276,3400,600,5000,12,7,model2,Weak Marginal,3,5000,0
0.5166666666666667,147.31923270225525,3400,600,5000,12,7,model2,Weak Marginal,3,5000,1
